ExternalList	Size	ItemGroup	Size	Overlap	OddsRatio	Pvalue
conserved_cops	1149	1: sc + bulk	313	46	40.36	2.3e-54
conserved_cops	1149	2: sc - bulk	3564	51	3.37	7.6e-13
conserved_cops	1149	3: sc5 + bulk	66	15	67.08	9.6e-22
conserved_cops	1149	4: sc5 - bulk	311	16	12.37	1.4e-12
paralog_genes	7940	1: sc + bulk	313	37	4.27	3.6e-12
paralog_genes	7940	2: sc - bulk	3564	59	0.53	1.0e+00
paralog_genes	7940	3: sc5 + bulk	66	10	5.67	3.1e-05
paralog_genes	7940	4: sc5 - bulk	311	8	0.84	7.4e-01
same_complex	238	1: sc + bulk	313	16	62.92	3.2e-23
same_complex	238	2: sc - bulk	3564	34	12.09	4.8e-24
same_complex	238	3: sc5 + bulk	66	8	155.64	2.4e-15
same_complex	238	4: sc5 - bulk	311	16	63.35	2.9e-23
same_pathway	22290	1: sc + bulk	313	71	3.13	3.2e-14
same_pathway	22290	2: sc - bulk	3564	553	1.98	6.1e-42
same_pathway	22290	3: sc5 + bulk	66	24	6.10	4.3e-10
same_pathway	22290	4: sc5 - bulk	311	104	5.37	6.1e-35
