gene_pair	n_individuals	perc_individuals
ENSG00000000457|ENSG00000075945	1	1.163
ENSG00000000460|ENSG00000117479	1	1.163
ENSG00000000938|ENSG00000175793	1	1.163
ENSG00000001167|ENSG00000137166	1	1.163
ENSG00000001561|ENSG00000153291	1	1.163
ENSG00000001626|ENSG00000105976	1	1.163
ENSG00000001626|ENSG00000106013	1	1.163
ENSG00000001631|ENSG00000127993	1	1.163
ENSG00000002746|ENSG00000122678	1	1.163
ENSG00000002822|ENSG00000146535	1	1.163
ENSG00000002834|ENSG00000125686	1	1.163
ENSG00000003400|ENSG00000138356	1	1.163
ENSG00000003436|ENSG00000138448	1	1.163
ENSG00000003509|ENSG00000115816	1	1.163
ENSG00000004455|ENSG00000084623	1	1.163
ENSG00000004468|ENSG00000137449	1	1.163
ENSG00000004478|ENSG00000151067	1	1.163
ENSG00000004478|ENSG00000171792	1	1.163
ENSG00000004478|ENSG00000197905	2	2.326
ENSG00000004700|ENSG00000111711	1	1.163
ENSG00000004864|ENSG00000196636	1	1.163
ENSG00000005075|ENSG00000170632	1	1.163
ENSG00000005100|ENSG00000108561	1	1.163
ENSG00000005175|ENSG00000211584	1	1.163
ENSG00000005339|ENSG00000006327	1	1.163
ENSG00000005436|ENSG00000115350	1	1.163
ENSG00000005448|ENSG00000163170	1	1.163
ENSG00000005469|ENSG00000105784	1	1.163
ENSG00000005486|ENSG00000106211	1	1.163
ENSG00000005513|ENSG00000188536	1	1.163
ENSG00000005700|ENSG00000118420	1	1.163
ENSG00000006007|ENSG00000103534	1	1.163
ENSG00000006015|ENSG00000007080	2	2.326
ENSG00000006015|ENSG00000105640	10	11.628
ENSG00000006015|ENSG00000130520	1	1.163
ENSG00000006015|ENSG00000221983	3	3.488
ENSG00000006075|ENSG00000129277	1	1.163
ENSG00000006075|ENSG00000197262	1	1.163
ENSG00000006075|ENSG00000205020	1	1.163
ENSG00000006128|ENSG00000070669	3	3.488
ENSG00000006194|ENSG00000140993	1	1.163
ENSG00000006327|ENSG00000184697	1	1.163
ENSG00000006327|ENSG00000205937	1	1.163
ENSG00000006652|ENSG00000146802	1	1.163
ENSG00000006744|ENSG00000065559	1	1.163
ENSG00000007038|ENSG00000085644	1	1.163
ENSG00000007047|ENSG00000062370	1	1.163
ENSG00000007080|ENSG00000105393	1	1.163
ENSG00000007080|ENSG00000105640	14	16.279
ENSG00000007080|ENSG00000105655	2	2.326
ENSG00000007080|ENSG00000130311	1	1.163
ENSG00000007080|ENSG00000130312	1	1.163
ENSG00000007080|ENSG00000130520	7	8.14
ENSG00000007080|ENSG00000221983	6	6.977
ENSG00000007129|ENSG00000167601	1	1.163
ENSG00000007237|ENSG00000133028	1	1.163
ENSG00000007237|ENSG00000154914	1	1.163
ENSG00000007255|ENSG00000130208	1	1.163
ENSG00000007264|ENSG00000161091	1	1.163
ENSG00000007314|ENSG00000136487	1	1.163
ENSG00000007341|ENSG00000197852	1	1.163
ENSG00000007376|ENSG00000100726	1	1.163
ENSG00000007392|ENSG00000130731	1	1.163
ENSG00000007392|ENSG00000140983	1	1.163
ENSG00000007392|ENSG00000172366	1	1.163
ENSG00000007402|ENSG00000173531	1	1.163
ENSG00000007520|ENSG00000140988	2	2.326
ENSG00000007520|ENSG00000167962	1	1.163
ENSG00000007541|ENSG00000127586	1	1.163
ENSG00000007866|ENSG00000112041	1	1.163
ENSG00000007923|ENSG00000097021	1	1.163
ENSG00000007944|ENSG00000124788	1	1.163
ENSG00000008018|ENSG00000112592	1	1.163
ENSG00000008282|ENSG00000105835	2	2.326
ENSG00000008311|ENSG00000081803	1	1.163
ENSG00000008311|ENSG00000106278	1	1.163
ENSG00000008324|ENSG00000181061	1	1.163
ENSG00000008394|ENSG00000023734	2	2.326
ENSG00000008405|ENSG00000074590	1	1.163
ENSG00000008516|ENSG00000162086	1	1.163
ENSG00000009307|ENSG00000213281	1	1.163
ENSG00000009780|ENSG00000130775	1	1.163
ENSG00000009790|ENSG00000162757	3	3.488
ENSG00000010017|ENSG00000145990	1	1.163
ENSG00000010256|ENSG00000232112	1	1.163
ENSG00000010256|ENSG00000233276	3	3.488
ENSG00000010278|ENSG00000111639	1	1.163
ENSG00000010278|ENSG00000111640	1	1.163
ENSG00000010278|ENSG00000111669	3	3.488
ENSG00000010278|ENSG00000126749	1	1.163
ENSG00000010278|ENSG00000215021	3	3.488
ENSG00000010292|ENSG00000111665	2	2.326
ENSG00000010292|ENSG00000111667	1	1.163
ENSG00000010626|ENSG00000111671	1	1.163
ENSG00000010704|ENSG00000168242	1	1.163
ENSG00000010932|ENSG00000117507	1	1.163
ENSG00000011009|ENSG00000125944	1	1.163
ENSG00000011009|ENSG00000142676	2	2.326
ENSG00000011243|ENSG00000123159	1	1.163
ENSG00000011258|ENSG00000108848	1	1.163
ENSG00000011295|ENSG00000166582	2	2.326
ENSG00000011304|ENSG00000064666	5	5.814
ENSG00000011304|ENSG00000070423	1	1.163
ENSG00000011304|ENSG00000099817	1	1.163
ENSG00000011304|ENSG00000099821	1	1.163
ENSG00000011332|ENSG00000167642	1	1.163
ENSG00000011376|ENSG00000163807	1	1.163
ENSG00000011376|ENSG00000211456	1	1.163
ENSG00000011451|ENSG00000105131	1	1.163
ENSG00000011451|ENSG00000132002	1	1.163
ENSG00000012223|ENSG00000268324	1	1.163
ENSG00000012983|ENSG00000139921	1	1.163
ENSG00000013275|ENSG00000077312	2	2.326
ENSG00000013275|ENSG00000105193	10	11.628
ENSG00000013275|ENSG00000105197	4	4.651
