donor_run	sample_size	variable	value	donor
aowh_2-22607_6	129	COP	0.225459517911849	aowh_2
aowh_2-24352_2	87	COP	0.268822055327282	aowh_2
ciwj_2-25619_5	19	COP	0.116666666666667	ciwj_2
fejf_2-24475_8	95	COP	0.284956055021781	fejf_2
hayt_1-25013_6	40	COP	0.733333333333333	hayt_1
hegp_3-24351_3	29	COP	0.709090909090909	hegp_3
iezw_2-24475_7	36	COP	0.258101272795688	iezw_2
iiyk_4-24327_6	64	COP	0.404480793590465	iiyk_4
jejf_2-25271_7	92	COP	0.422958950166769	jejf_2
jejf_2-25271_8	125	COP	0.42991348656152	jejf_2
kajh_3-24475_1	70	COP	0.488976478644303	kajh_3
kolf_2-24475_7	110	COP	0.0612628387319102	kolf_2
kucg_2-24475_5	27	COP	0.642857142857143	kucg_2
kucg_2-25262_8	30	COP	0.685314685314685	kucg_2
kuco_1-25619_5	26	COP	0.515151515151515	kuco_1
kuco_1-25619_7	23	COP	-0.428571428571428	kuco_1
laey_4-24327_6	11	COP	1	laey_4
lepk_1-24086_8	24	COP	0.547619047619048	lepk_1
lepk_1-24351_3	16	COP	0.175757575757576	lepk_1
letw_1-24327_6	250	COP	0.190812346274789	letw_1
liqa_1-25619_5	39	COP	0.292307692307692	liqa_1
liqa_1-25619_7	98	COP	0.0804163533192042	liqa_1
meue_4-22607_6	539	COP	0.0175779581114436	meue_4
meue_4-24352_2	132	COP	0.130073405296037	meue_4
miaj_6-24327_6	24	COP	0.476190476190476	miaj_6
nosn_6-24842_6	30	COP	0.0285714285714286	nosn_6
nosn_6-25476_4	46	COP	0.916666666666667	nosn_6
nufh_3-24475_8	25	COP	0.55581009804541	nufh_3
oaqd_3-21843_2	46	COP	0.277470893287924	oaqd_3
oibg_1-24086_8	204	COP	0.209503747652038	oibg_1
paab_4-21843_2	25	COP	-0.314285714285714	paab_4
paab_4-23794_1	73	COP	0.476402287832641	paab_4
paab_4-24353_6	129	COP	0.286747112176248	paab_4
poih_4-22607_6	157	COP	0.266741770032414	poih_4
poih_4-24327_6	70	COP	0.0994384340240952	poih_4
poih_4-24352_2	62	COP	0.347368421052632	poih_4
puie_5-24475_1	122	COP	0.187787079877901	puie_5
qoog_4-24475_1	21	COP	0.0476190476190476	qoog_4
qorq_2-23794_1	156	COP	0.338726102405349	qorq_2
qorq_2-24353_6	228	COP	0.166375676184448	qorq_2
rayr_1-25262_5	12	COP	1	rayr_1
sehl_6-24252_5	51	COP	0.271428571428571	sehl_6
sehl_6-24327_7	63	COP	0.403932243510349	sehl_6
sehl_6-24475_3	181	COP	0.167361415667175	sehl_6
seru_1-22606_1	55	COP	0.478104714944654	seru_1
seru_1-24475_7	51	COP	0.358609375604771	seru_1
sojd_3-24722_4	148	COP	0.255955790460956	sojd_3
sojd_3-25262_5	314	COP	0.0272534664605233	sojd_3
toco_5-25271_8	19	COP	0.0357142857142857	toco_5
tolg_6-24722_4	68	COP	0.286085429122804	tolg_6
tolg_6-25262_5	26	COP	-0.464285714285714	tolg_6
ueah_1-24351_3	31	COP	0.612960659796053	ueah_1
wahn_1-24327_7	26	COP	0.162100456621005	wahn_1
wahn_1-24475_8	102	COP	0.0872007351788513	wahn_1
xojn_3-25013_6	40	COP	0.536363636363636	xojn_3
yoch_6-25013_6	558	COP	0.0980263483791582	yoch_6
zagm_1-24475_8	103	COP	0.0186427872878294	zagm_1
zerv_8-24475_7	197	COP	0.106810333483962	zerv_8
aowh_2-22607_6	129	Non-COP	0.0860323886639676	aowh_2
aowh_2-24352_2	87	Non-COP	-0.190656284760845	aowh_2
ciwj_2-25619_5	19	Non-COP	-0.885714285714286	ciwj_2
fejf_2-24475_8	95	Non-COP	-0.00902255639097744	fejf_2
hayt_1-25013_6	40	Non-COP	0.0373626373626374	hayt_1
hegp_3-24351_3	29	Non-COP	0.1	hegp_3
iezw_2-24475_7	36	Non-COP	-0.00909090909090909	iezw_2
iiyk_4-24327_6	64	Non-COP	0.225274725274725	iiyk_4
jejf_2-25271_7	92	Non-COP	-0.121400338791643	jejf_2
jejf_2-25271_8	125	Non-COP	0.132865380258321	jejf_2
kajh_3-24475_1	70	Non-COP	-0.0931372549019608	kajh_3
kolf_2-24475_7	110	Non-COP	0.13980463980464	kolf_2
kucg_2-24475_5	27	Non-COP	-0.2	kucg_2
kucg_2-25262_8	30	Non-COP	0.678571428571428	kucg_2
kuco_1-25619_5	26	Non-COP	-1	kuco_1
kuco_1-25619_7	23	Non-COP	-0.142857142857143	kuco_1
laey_4-24327_6	11	Non-COP	0.5	laey_4
lepk_1-24086_8	24	Non-COP	-0.142857142857143	lepk_1
lepk_1-24351_3	16	Non-COP	-0.9	lepk_1
letw_1-24327_6	250	Non-COP	0.0548697638343246	letw_1
liqa_1-25619_5	39	Non-COP	-0.183333333333333	liqa_1
liqa_1-25619_7	98	Non-COP	-0.0754385964912281	liqa_1
meue_4-22607_6	539	Non-COP	0.0439602606724472	meue_4
meue_4-24352_2	132	Non-COP	0.039572192513369	meue_4
miaj_6-24327_6	24	Non-COP	-0.116666666666667	miaj_6
nosn_6-24842_6	30	Non-COP	-0.238095238095238	nosn_6
nosn_6-25476_4	46	Non-COP	0.232198142414861	nosn_6
nufh_3-24475_8	25	Non-COP	-0.428571428571428	nufh_3
oaqd_3-21843_2	46	Non-COP	0.0454545454545455	oaqd_3
oibg_1-24086_8	204	Non-COP	0.283364395105745	oibg_1
paab_4-21843_2	25	Non-COP	0.5	paab_4
paab_4-23794_1	73	Non-COP	0.257142857142857	paab_4
paab_4-24353_6	129	Non-COP	-0.140168508589561	paab_4
poih_4-22607_6	157	Non-COP	0.0556953714848452	poih_4
poih_4-24327_6	70	Non-COP	0.239038661519189	poih_4
poih_4-24352_2	62	Non-COP	0.145256916996047	poih_4
puie_5-24475_1	122	Non-COP	0.281455113544947	puie_5
qoog_4-24475_1	21	Non-COP	-0.392857142857143	qoog_4
qorq_2-23794_1	156	Non-COP	0.218584361608261	qorq_2
qorq_2-24353_6	228	Non-COP	0.017379679144385	qorq_2
rayr_1-25262_5	12	Non-COP	-0.5	rayr_1
sehl_6-24252_5	51	Non-COP	0.241758241758242	sehl_6
sehl_6-24327_7	63	Non-COP	0.0852173913043478	sehl_6
sehl_6-24475_3	181	Non-COP	0.0745041122399613	sehl_6
seru_1-22606_1	55	Non-COP	0.2	seru_1
seru_1-24475_7	51	Non-COP	0.108823529411765	seru_1
sojd_3-24722_4	148	Non-COP	-0.130013368983957	sojd_3
sojd_3-25262_5	314	Non-COP	-0.079909960618095	sojd_3
toco_5-25271_8	19	Non-COP	0.464285714285714	toco_5
tolg_6-24722_4	68	Non-COP	0.0571428571428571	tolg_6
tolg_6-25262_5	26	Non-COP	0.8	tolg_6
ueah_1-24351_3	31	Non-COP	0.167857142857143	ueah_1
wahn_1-24327_7	26	Non-COP	-0.714285714285714	wahn_1
wahn_1-24475_8	102	Non-COP	-0.250649350649351	wahn_1
