V1	N	dataset
ENSG00000001629|ENSG00000001631	5	COP
ENSG00000001629|ENSG00000004766	7	COP
ENSG00000001629|ENSG00000105810	9	COP
ENSG00000001629|ENSG00000127914	8	COP
ENSG00000001629|ENSG00000177409	9	COP
ENSG00000001629|ENSG00000205413	7	COP
ENSG00000001631|ENSG00000105810	5	COP
ENSG00000001631|ENSG00000177409	5	COP
ENSG00000001631|ENSG00000205413	4	COP
ENSG00000002549|ENSG00000109805	1	COP
ENSG00000002549|ENSG00000178177	2	COP
ENSG00000003402|ENSG00000082153	3	COP
ENSG00000003756|ENSG00000004534	6	COP
ENSG00000003756|ENSG00000067560	5	COP
ENSG00000004468|ENSG00000118564	1	COP
ENSG00000004487|ENSG00000125944	3	COP
ENSG00000004487|ENSG00000142676	4	COP
ENSG00000004534|ENSG00000067560	7	COP
ENSG00000004534|ENSG00000198218	4	COP
ENSG00000004766|ENSG00000105810	7	COP
ENSG00000004766|ENSG00000177409	7	COP
ENSG00000004766|ENSG00000205413	6	COP
ENSG00000004897|ENSG00000082641	5	COP
ENSG00000004897|ENSG00000108424	5	COP
ENSG00000004897|ENSG00000120071	3	COP
ENSG00000004897|ENSG00000141279	5	COP
ENSG00000005339|ENSG00000140632	3	COP
ENSG00000005483|ENSG00000135250	6	COP
ENSG00000005801|ENSG00000110713	7	COP
ENSG00000005801|ENSG00000167323	7	COP
ENSG00000005955|ENSG00000006125	2	COP
ENSG00000005955|ENSG00000108270	1	COP
ENSG00000005955|ENSG00000172660	2	COP
ENSG00000006114|ENSG00000108270	1	COP
ENSG00000006114|ENSG00000132142	2	COP
ENSG00000006125|ENSG00000172660	4	COP
ENSG00000006125|ENSG00000205045	4	COP
ENSG00000006530|ENSG00000157764	3	COP
ENSG00000006576|ENSG00000127947	4	COP
ENSG00000006576|ENSG00000187257	4	COP
ENSG00000006607|ENSG00000115677	9	COP
ENSG00000006607|ENSG00000168385	10	COP
ENSG00000006634|ENSG00000008277	1	COP
ENSG00000006634|ENSG00000135164	1	COP
ENSG00000006831|ENSG00000060237	3	COP
ENSG00000007168|ENSG00000070366	9	COP
ENSG00000007168|ENSG00000132383	8	COP
ENSG00000007168|ENSG00000174231	9	COP
ENSG00000007202|ENSG00000087095	5	COP
ENSG00000007202|ENSG00000108256	5	COP
ENSG00000007202|ENSG00000109111	6	COP
ENSG00000007202|ENSG00000160551	5	COP
ENSG00000008083|ENSG00000047579	12	COP
ENSG00000008256|ENSG00000011275	9	COP
ENSG00000008277|ENSG00000075303	1	COP
ENSG00000008277|ENSG00000135164	1	COP
ENSG00000008869|ENSG00000055332	10	COP
ENSG00000009307|ENSG00000134242	2	COP
ENSG00000009307|ENSG00000163349	2	COP
ENSG00000009307|ENSG00000197323	2	COP
ENSG00000009307|ENSG00000213281	1	COP
ENSG00000009413|ENSG00000010810	11	COP
ENSG00000009413|ENSG00000155111	5	COP
ENSG00000009844|ENSG00000010818	7	COP
ENSG00000009954|ENSG00000086730	5	COP
ENSG00000009954|ENSG00000106665	5	COP
ENSG00000009954|ENSG00000106682	6	COP
ENSG00000010017|ENSG00000145990	12	COP
ENSG00000010244|ENSG00000108671	7	COP
ENSG00000010244|ENSG00000176658	7	COP
ENSG00000010292|ENSG00000111640	8	COP
ENSG00000010292|ENSG00000111642	8	COP
ENSG00000010803|ENSG00000066136	4	COP
ENSG00000010803|ENSG00000084070	3	COP
ENSG00000010803|ENSG00000127124	7	COP
ENSG00000011275|ENSG00000075618	12	COP
ENSG00000011304|ENSG00000172270	9	COP
ENSG00000011405|ENSG00000110696	1	COP
ENSG00000011454|ENSG00000056586	4	COP
ENSG00000011454|ENSG00000119522	5	COP
ENSG00000011454|ENSG00000165209	5	COP
ENSG00000011566|ENSG00000115904	3	COP
ENSG00000012983|ENSG00000100503	11	COP
ENSG00000012983|ENSG00000165525	10	COP
ENSG00000013374|ENSG00000106615	6	COP
ENSG00000013810|ENSG00000109685	7	COP
ENSG00000014641|ENSG00000119844	4	COP
ENSG00000014641|ENSG00000143951	3	COP
ENSG00000014641|ENSG00000197329	4	COP
ENSG00000014824|ENSG00000124406	2	COP
ENSG00000015133|ENSG00000100796	13	COP
ENSG00000015133|ENSG00000100815	13	COP
ENSG00000015133|ENSG00000133943	13	COP
ENSG00000015171|ENSG00000107929	1	COP
ENSG00000015479|ENSG00000044115	4	COP
ENSG00000015479|ENSG00000113013	4	COP
ENSG00000015479|ENSG00000120705	2	COP
ENSG00000015479|ENSG00000120725	7	COP
ENSG00000015479|ENSG00000120733	1	COP
ENSG00000015479|ENSG00000158458	7	COP
ENSG00000015676|ENSG00000106603	8	COP
ENSG00000015676|ENSG00000164543	5	COP
ENSG00000017260|ENSG00000114686	1	COP
ENSG00000017260|ENSG00000172765	2	COP
ENSG00000018408|ENSG00000071794	3	COP
ENSG00000018510|ENSG00000116044	4	COP
ENSG00000018510|ENSG00000170144	3	COP
ENSG00000018699|ENSG00000115760	2	COP
ENSG00000018699|ENSG00000152689	3	COP
ENSG00000019582|ENSG00000113712	6	COP
ENSG00000019582|ENSG00000145901	15	COP
