donorCell	donor	cellp1	cellp2	cell
NA18517.02192018.A01	NA18517	02192018	A01	02192018-A01
NA19210.02192018.A03	NA19210	02192018	A03	02192018-A03
NA18913.02192018.A04	NA18913	02192018	A04	02192018-A04
NA19193.02192018.A05	NA19193	02192018	A05	02192018-A05
NA19193.02192018.A06	NA19193	02192018	A06	02192018-A06
NA18913.02192018.A07	NA18913	02192018	A07	02192018-A07
NA19193.02192018.A09	NA19193	02192018	A09	02192018-A09
NA18517.02192018.A10	NA18517	02192018	A10	02192018-A10
NA18913.02192018.A11	NA18913	02192018	A11	02192018-A11
NA19210.02192018.A12	NA19210	02192018	A12	02192018-A12
NA18517.02192018.B01	NA18517	02192018	B01	02192018-B01
NA19210.02192018.B02	NA19210	02192018	B02	02192018-B02
NA18517.02192018.B03	NA18517	02192018	B03	02192018-B03
NA19193.02192018.B04	NA19193	02192018	B04	02192018-B04
NA18517.02192018.B06	NA18517	02192018	B06	02192018-B06
NA19210.02192018.B07	NA19210	02192018	B07	02192018-B07
NA18517.02192018.B09	NA18517	02192018	B09	02192018-B09
NA19193.02192018.B11	NA19193	02192018	B11	02192018-B11
NA18913.02192018.B12	NA18913	02192018	B12	02192018-B12
NA18913.02192018.C01	NA18913	02192018	C01	02192018-C01
NA19210.02192018.C02	NA19210	02192018	C02	02192018-C02
NA18913.02192018.C03	NA18913	02192018	C03	02192018-C03
NA19193.02192018.C05	NA19193	02192018	C05	02192018-C05
NA19193.02192018.C06	NA19193	02192018	C06	02192018-C06
NA18517.02192018.C07	NA18517	02192018	C07	02192018-C07
NA19210.02192018.C09	NA19210	02192018	C09	02192018-C09
NA18913.02192018.C10	NA18913	02192018	C10	02192018-C10
NA18913.02192018.C11	NA18913	02192018	C11	02192018-C11
NA19193.02192018.C12	NA19193	02192018	C12	02192018-C12
NA19193.02192018.D01	NA19193	02192018	D01	02192018-D01
NA19193.02192018.D02	NA19193	02192018	D02	02192018-D02
NA19210.02192018.D03	NA19210	02192018	D03	02192018-D03
NA18913.02192018.D04	NA18913	02192018	D04	02192018-D04
NA19210.02192018.D05	NA19210	02192018	D05	02192018-D05
NA18517.02192018.D07	NA18517	02192018	D07	02192018-D07
NA18517.02192018.D09	NA18517	02192018	D09	02192018-D09
NA19193.02192018.D10	NA19193	02192018	D10	02192018-D10
NA19210.02192018.D11	NA19210	02192018	D11	02192018-D11
NA18913.02192018.D12	NA18913	02192018	D12	02192018-D12
NA19210.02192018.E01	NA19210	02192018	E01	02192018-E01
NA18517.02192018.E02	NA18517	02192018	E02	02192018-E02
NA18517.02192018.E03	NA18517	02192018	E03	02192018-E03
NA19193.02192018.E04	NA19193	02192018	E04	02192018-E04
NA18517.02192018.E05	NA18517	02192018	E05	02192018-E05
NA18517.02192018.E07	NA18517	02192018	E07	02192018-E07
NA18517.02192018.E08	NA18517	02192018	E08	02192018-E08
NA18517.02192018.E09	NA18517	02192018	E09	02192018-E09
NA19193.02192018.E10	NA19193	02192018	E10	02192018-E10
NA19193.02192018.E11	NA19193	02192018	E11	02192018-E11
NA19210.02192018.E12	NA19210	02192018	E12	02192018-E12
NA18517.02192018.F01	NA18517	02192018	F01	02192018-F01
NA19210.02192018.F02	NA19210	02192018	F02	02192018-F02
NA19210.02192018.F03	NA19210	02192018	F03	02192018-F03
NA18517.02192018.F04	NA18517	02192018	F04	02192018-F04
NA18517.02192018.F07	NA18517	02192018	F07	02192018-F07
NA19193.02192018.F08	NA19193	02192018	F08	02192018-F08
NA18913.02192018.F09	NA18913	02192018	F09	02192018-F09
NA19193.02192018.F11	NA19193	02192018	F11	02192018-F11
NA19193.02192018.F12	NA19193	02192018	F12	02192018-F12
NA18517.02192018.G02	NA18517	02192018	G02	02192018-G02
NA19193.02192018.G03	NA19193	02192018	G03	02192018-G03
NA19193.02192018.G05	NA19193	02192018	G05	02192018-G05
NA19210.02192018.G06	NA19210	02192018	G06	02192018-G06
NA18913.02192018.G07	NA18913	02192018	G07	02192018-G07
NA19210.02192018.G08	NA19210	02192018	G08	02192018-G08
NA18913.02192018.G09	NA18913	02192018	G09	02192018-G09
NA18913.02192018.G10	NA18913	02192018	G10	02192018-G10
NA19193.02192018.G11	NA19193	02192018	G11	02192018-G11
NA18517.02192018.G12	NA18517	02192018	G12	02192018-G12
NA19210.02192018.H01	NA19210	02192018	H01	02192018-H01
NA18517.02192018.H02	NA18517	02192018	H02	02192018-H02
NA19193.02192018.H03	NA19193	02192018	H03	02192018-H03
NA18517.02192018.H04	NA18517	02192018	H04	02192018-H04
NA18913.02192018.H05	NA18913	02192018	H05	02192018-H05
NA19193.02192018.H06	NA19193	02192018	H06	02192018-H06
NA18517.02192018.H08	NA18517	02192018	H08	02192018-H08
NA19210.02192018.H09	NA19210	02192018	H09	02192018-H09
NA19193.02192018.H10	NA19193	02192018	H10	02192018-H10
NA19210.02192018.H11	NA19210	02192018	H11	02192018-H11
NA19193.02192018.H12	NA19193	02192018	H12	02192018-H12
NA19204.02202018.A01	NA19204	02202018	A01	02202018-A01
NA19159.02202018.A02	NA19159	02202018	A02	02202018-A02
NA19159.02202018.A03	NA19159	02202018	A03	02202018-A03
NA19159.02202018.A05	NA19159	02202018	A05	02202018-A05
NA18913.02202018.A07	NA18913	02202018	A07	02202018-A07
NA18913.02202018.A09	NA18913	02202018	A09	02202018-A09
NA19204.02202018.A10	NA19204	02202018	A10	02202018-A10
NA18913.02202018.A11	NA18913	02202018	A11	02202018-A11
NA18913.02202018.A12	NA18913	02202018	A12	02202018-A12
NA19159.02202018.B01	NA19159	02202018	B01	02202018-B01
NA18913.02202018.B03	NA18913	02202018	B03	02202018-B03
NA19204.02202018.B04	NA19204	02202018	B04	02202018-B04
NA19159.02202018.B07	NA19159	02202018	B07	02202018-B07
NA19204.02202018.B08	NA19204	02202018	B08	02202018-B08
NA19159.02202018.B09	NA19159	02202018	B09	02202018-B09
NA19204.02202018.B10	NA19204	02202018	B10	02202018-B10
NA18913.02202018.B11	NA18913	02202018	B11	02202018-B11
NA19159.02202018.B12	NA19159	02202018	B12	02202018-B12
NA19159.02202018.C04	NA19159	02202018	C04	02202018-C04
NA19203.02202018.C05	NA19203	02202018	C05	02202018-C05
NA19204.02202018.C06	NA19204	02202018	C06	02202018-C06
NA19203.02202018.C07	NA19203	02202018	C07	02202018-C07
NA19204.02202018.C08	NA19204	02202018	C08	02202018-C08
NA19204.02202018.C09	NA19204	02202018	C09	02202018-C09
NA19203.02202018.C11	NA19203	02202018	C11	02202018-C11
NA19159.02202018.D01	NA19159	02202018	D01	02202018-D01
NA18913.02202018.D02	NA18913	02202018	D02	02202018-D02
NA19159.02202018.D03	NA19159	02202018	D03	02202018-D03
NA19159.02202018.D04	NA19159	02202018	D04	02202018-D04
NA19159.02202018.D05	NA19159	02202018	D05	02202018-D05
NA18913.02202018.D06	NA18913	02202018	D06	02202018-D06
NA19159.02202018.D07	NA19159	02202018	D07	02202018-D07
NA18913.02202018.D08	NA18913	02202018	D08	02202018-D08
NA19159.02202018.D09	NA19159	02202018	D09	02202018-D09
NA19159.02202018.D10	NA19159	02202018	D10	02202018-D10
NA18913.02202018.D11	NA18913	02202018	D11	02202018-D11
NA19203.02202018.E01	NA19203	02202018	E01	02202018-E01
NA19159.02202018.E02	NA19159	02202018	E02	02202018-E02
NA19203.02202018.E05	NA19203	02202018	E05	02202018-E05
NA19159.02202018.E06	NA19159	02202018	E06	02202018-E06
NA19159.02202018.E07	NA19159	02202018	E07	02202018-E07
NA19159.02202018.E08	NA19159	02202018	E08	02202018-E08
NA19159.02202018.E11	NA19159	02202018	E11	02202018-E11
NA19203.02202018.E12	NA19203	02202018	E12	02202018-E12
NA19203.02202018.F01	NA19203	02202018	F01	02202018-F01
NA19203.02202018.F02	NA19203	02202018	F02	02202018-F02
NA19203.02202018.F04	NA19203	02202018	F04	02202018-F04
NA19204.02202018.F06	NA19204	02202018	F06	02202018-F06
NA19159.02202018.F09	NA19159	02202018	F09	02202018-F09
NA19204.02202018.F10	NA19204	02202018	F10	02202018-F10
NA19159.02202018.G01	NA19159	02202018	G01	02202018-G01
NA19159.02202018.G02	NA19159	02202018	G02	02202018-G02
NA19159.02202018.G03	NA19159	02202018	G03	02202018-G03
NA19159.02202018.G04	NA19159	02202018	G04	02202018-G04
NA19204.02202018.G05	NA19204	02202018	G05	02202018-G05
NA18913.02202018.G06	NA18913	02202018	G06	02202018-G06
NA19203.02202018.G07	NA19203	02202018	G07	02202018-G07
NA18913.02202018.G08	NA18913	02202018	G08	02202018-G08
NA18913.02202018.G09	NA18913	02202018	G09	02202018-G09
NA18913.02202018.G10	NA18913	02202018	G10	02202018-G10
NA19159.02202018.G11	NA19159	02202018	G11	02202018-G11
NA18913.02202018.G12	NA18913	02202018	G12	02202018-G12
NA19159.02202018.H01	NA19159	02202018	H01	02202018-H01
NA19159.02202018.H02	NA19159	02202018	H02	02202018-H02
NA19159.02202018.H03	NA19159	02202018	H03	02202018-H03
